Country,Region,Subregion,World.Bank,IMF,Year,Language,Type,Class,Drug,Listed,Any.NeuP,Central.NeuP,Peripheral.NeuP,DPN,PHN,HIV,TGN
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,TCA,Nortriptyline,Yes,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,Topical,Capsaicin,No,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,Topical,Lidocaine,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,Anticonvulsant,Carbamazepine,Yes,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,Anticonvulsant,Gabapentin,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,Anticonvulsant,Oxcarbazepine,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,Anticonvulsant,Pregabalin,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,Anticonvulsant,Valproate,Yes,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,NDRI,Bupropion,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,Opioid,Methadone,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,Opioid,Morphine,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,Opioid,Oxycodone,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,Opioid,Tramadol,Yes,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,Other,Ibuprofen,Yes,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,Other,Paracetamol,Yes,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,SNRI,Duloxetine,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,SNRI,Venlafaxine,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,TCA,Amitriptyline,Yes,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,TCA,Clomipramine,Yes,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,TCA,Desipramine,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,TCA,Imipramine,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,TCA,Nortriptyline,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,Topical,Capsaicin,No,No,No,No,No,No,No,No
Algeria,Africa,Northern Africa,Upper middle,Developing,2007,French,TC,Topical,Lidocaine,Yes,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,Anticonvulsant,Carbamazepine,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,Anticonvulsant,Gabapentin,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,Anticonvulsant,Oxcarbazepine,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,Anticonvulsant,Pregabalin,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,Anticonvulsant,Valproate,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,NDRI,Bupropion,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,Opioid,Methadone,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,Opioid,Morphine,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,Opioid,Oxycodone,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,Opioid,Tramadol,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,Other,Ibuprofen,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,Other,Paracetamol,Yes,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,SNRI,Duloxetine,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,SNRI,Venlafaxine,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,TCA,Amitriptyline,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,TCA,Clomipramine,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,TCA,Desipramine,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,TCA,Imipramine,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,TCA,Nortriptyline,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,Topical,Capsaicin,No,No,No,No,No,No,No,No
Angola,Africa,Central Africa,Upper middle,Developing,2008,Portuguese,Other,Topical,Lidocaine,No,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,Anticonvulsant,Carbamazepine,Yes,Yes,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,Anticonvulsant,Gabapentin,Yes,Yes,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,Anticonvulsant,Oxcarbazepine,Yes,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,Anticonvulsant,Pregabalin,No,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,Anticonvulsant,Valproate,Yes,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,NDRI,Bupropion,No,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,Opioid,Methadone,No,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,Opioid,Morphine,Yes,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,Opioid,Oxycodone,No,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,Opioid,Tramadol,Yes,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,Other,Ibuprofen,Yes,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,Other,Paracetamol,Yes,Yes,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,SNRI,Duloxetine,No,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,SNRI,Venlafaxine,No,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,TCA,Amitriptyline,Yes,Yes,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,TCA,Clomipramine,No,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,TCA,Desipramine,No,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,TCA,Imipramine,Yes,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,TCA,Nortriptyline,Yes,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,Topical,Capsaicin,No,No,No,No,No,No,No,No
Argentina,Americas,South America,Upper middle,Developing,2005,Spanish,TC,Topical,Lidocaine,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,Anticonvulsant,Carbamazepine,Yes,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,Anticonvulsant,Gabapentin,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2011,English,TC,Anticonvulsant,Oxcarbazepine,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,Anticonvulsant,Pregabalin,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,Anticonvulsant,Valproate,Yes,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,NDRI,Bupropion,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,Opioid,Methadone,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,Opioid,Morphine,Yes,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,Opioid,Oxycodone,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,Opioid,Tramadol,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,Other,Ibuprofen,Yes,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,Other,Paracetamol,Yes,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,SNRI,Duloxetine,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,SNRI,Venlafaxine,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,TCA,Amitriptyline,Yes,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,TCA,Clomipramine,Yes,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,TCA,Desipramine,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,TCA,Imipramine,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,TCA,Nortriptyline,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,Topical,Capsaicin,No,No,No,No,No,No,No,No
Armenia,Asia,Western Asia,Lower middle,Developing,2010,English,TC,Topical,Lidocaine,No,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,Anticonvulsant,Carbamazepine,Yes,Yes,No,Yes,No,No,No,Yes
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,Anticonvulsant,Gabapentin,Yes,Yes,No,Yes,No,No,No,Yes
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,Anticonvulsant,Oxcarbazepine,No,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,Anticonvulsant,Pregabalin,No,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,Anticonvulsant,Valproate,Yes,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2010,English,Other,NDRI,Bupropion,No,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,Opioid,Methadone,Yes,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,Opioid,Morphine,Yes,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,Opioid,Oxycodone,No,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,Opioid,Tramadol,No,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,Other,Ibuprofen,Yes,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,Other,Paracetamol,Yes,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,SNRI,Duloxetine,No,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,SNRI,Venlafaxine,Yes,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,TCA,Amitriptyline,Yes,Yes,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,TCA,Clomipramine,Yes,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,TCA,Desipramine,No,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,TCA,Imipramine,Yes,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,TCA,Nortriptyline,Yes,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,Topical,Capsaicin,No,No,No,No,No,No,No,No
Bahrain,Asia,Western Asia,High,Developing,2009,English,Other,Topical,Lidocaine,Yes,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,Anticonvulsant,Carbamazepine,Yes,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,Anticonvulsant,Gabapentin,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,Anticonvulsant,Oxcarbazepine,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,Anticonvulsant,Pregabalin,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,Anticonvulsant,Valproate,Yes,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2009,English,A,NDRI,Bupropion,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,Opioid,Methadone,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,Opioid,Morphine,Yes,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,Opioid,Oxycodone,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,Opioid,Tramadol,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,Other,Ibuprofen,Yes,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,Other,Paracetamol,Yes,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,SNRI,Duloxetine,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,SNRI,Venlafaxine,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,TCA,Amitriptyline,Yes,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,TCA,Clomipramine,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,TCA,Desipramine,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,TCA,Imipramine,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,TCA,Nortriptyline,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,Topical,Capsaicin,No,No,No,No,No,No,No,No
Bangladesh,Asia,Southern Asia,Low,Developing,2008,English,A,Topical,Lidocaine,No,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,Anticonvulsant,Carbamazepine,Yes,Yes,No,Yes,No,No,No,Yes
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,Anticonvulsant,Gabapentin,Yes,Yes,No,Yes,Yes,Yes,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,Anticonvulsant,Oxcarbazepine,Yes,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,Anticonvulsant,Pregabalin,No,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,Anticonvulsant,Valproate,Yes,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,NDRI,Bupropion,No,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,Opioid,Methadone,No,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,Opioid,Morphine,Yes,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,Opioid,Oxycodone,No,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,Opioid,Tramadol,Yes,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,Other,Ibuprofen,Yes,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,Other,Paracetamol,Yes,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,SNRI,Duloxetine,No,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,SNRI,Venlafaxine,No,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,TCA,Amitriptyline,Yes,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,TCA,Clomipramine,Yes,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,TCA,Desipramine,No,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,TCA,Imipramine,Yes,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,TCA,Nortriptyline,No,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,Topical,Capsaicin,No,No,No,No,No,No,No,No
Barbados,Americas,Caribbean,High,Developing,2012,English,TC,Topical,Lidocaine,Yes,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,Anticonvulsant,Carbamazepine,Yes,Yes,No,Yes,No,No,No,Yes
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,Anticonvulsant,Gabapentin,No,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,Anticonvulsant,Oxcarbazepine,No,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,Anticonvulsant,Pregabalin,No,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,Anticonvulsant,Valproate,Yes,Yes,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,NDRI,Bupropion,No,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,Opioid,Methadone,Yes,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,Opioid,Morphine,Yes,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,Opioid,Oxycodone,Yes,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,Opioid,Tramadol,No,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,Other,Ibuprofen,Yes,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,Other,Paracetamol,Yes,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,SNRI,Duloxetine,No,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,SNRI,Venlafaxine,No,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,TCA,Amitriptyline,Yes,Yes,No,Yes,Yes,Yes,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,TCA,Clomipramine,Yes,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,TCA,Desipramine,No,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,TCA,Imipramine,Yes,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,TCA,Nortriptyline,No,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,Topical,Capsaicin,No,No,No,No,No,No,No,No
Belize,Americas,Central America,Upper middle,Developing,2011,English,TC,Topical,Lidocaine,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,Anticonvulsant,Carbamazepine,Yes,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,Anticonvulsant,Gabapentin,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,Anticonvulsant,Oxcarbazepine,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,Anticonvulsant,Pregabalin,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,Anticonvulsant,Valproate,Yes,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2013,English,TC,NDRI,Bupropion,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,Opioid,Methadone,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,Opioid,Morphine,Yes,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,Opioid,Oxycodone,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,Opioid,Tramadol,Yes,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,Other,Ibuprofen,Yes,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,Other,Paracetamol,Yes,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,SNRI,Duloxetine,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,SNRI,Venlafaxine,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,TCA,Amitriptyline,Yes,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,TCA,Clomipramine,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,TCA,Desipramine,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,TCA,Imipramine,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,TCA,Nortriptyline,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,Topical,Capsaicin,No,No,No,No,No,No,No,No
Bhutan,Asia,Southern Asia,Lower middle,Developing,2012,English,TC,Topical,Lidocaine,No,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,Anticonvulsant,Carbamazepine,Yes,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,Anticonvulsant,Gabapentin,Yes,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,Anticonvulsant,Oxcarbazepine,No,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,Anticonvulsant,Pregabalin,No,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,Anticonvulsant,Valproate,Yes,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,NDRI,Bupropion,No,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,Opioid,Methadone,Yes,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,Opioid,Morphine,Yes,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,Opioid,Oxycodone,No,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,Opioid,Tramadol,No,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,Other,Ibuprofen,Yes,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,Other,Paracetamol,Yes,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,SNRI,Duloxetine,No,No,No,No,No,No,No,No
Bolivia,Americas,South America,Lower middle,Developing,2011,Spanish,A,SNRI,Venlafaxine,No,No,No,No,No,No,No,No
